PLIEGO_NOMBRE,DEPARTAMENTO_EJECUTORA,SECTOR,DISTRITO_EJECUTORA,MONTO_RECAUDADO,PROVINCIA_EJECUTORA_NOMBRE,ANO_DOC,ESPECIFICA_NOMBRE,SUBGENERICA_DET_NOMBRE,PROVINCIA_EJECUTORA,NIVEL_GOBIERNO_NOMBRE,MES_DOC,NIVEL_GOBIERNO,DEPARTAMENTO_EJECUTORA_NOMBRE,SEC_EJEC,RUBRO_NOMBRE,SUBGENERICA_DET,RUBRO,GENERICA,TIPO_RECURSO_NOMBRE,EJECUTORA_NOMBRE,SUBGENERICA,MONTO_PIA,FUENTE_FINANCIAMIENTO_NOMBRE,ESPECIFICA_DET_NOMBRE,TIPO_RECURSO,SECTOR_NOMBRE,SUBGENERICA_NOMBRE,EJECUTORA,PLIEGO,FUENTE_FINANCIAMIENTO,DISTRITO_EJECUTORA_NOMBRE,MONTO_PIM,ESPECIFICA,GENERICA_NOMBRE,ESPECIFICA_DET
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,10138.46,CHACHAPOYAS,2022,INTERESES,RENTAS DE LA PROPIEDAD FINANCIERA,01,GOBIERNOS REGIONALES,11,R,AMAZONAS,721,RECURSOS DIRECTAMENTE RECAUDADOS,1,09,5,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION AMAZONAS-SEDE CENTRAL,1,0,RECURSOS DIRECTAMENTE RECAUDADOS,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,7,GOBIERNOS REGIONALES,RENTAS DE LA PROPIEDAD,001,440,2,CHACHAPOYAS,0,1,OTROS INGRESOS,1
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,0.03,CHACHAPOYAS,2022,SALDOS DE BALANCE,SALDOS DE BALANCE,01,GOBIERNOS REGIONALES,3,R,AMAZONAS,721,RECURSOS POR OPERACIONES OFICIALES DE CREDITO,1,19,9,SUB CUENTA - DU. 051-2020-MEDIDAS EXTRAORDINARIAS Y TEMPORALES  - COVID -19-ROOC,REGION AMAZONAS-SEDE CENTRAL,1,0,RECURSOS POR OPERACIONES OFICIALES DE CREDITO,SALDOS DE BALANCE,18,GOBIERNOS REGIONALES,SALDOS DE BALANCE,001,440,3,CHACHAPOYAS,0,1,SALDOS DE BALANCE,1
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,81226.04,CHACHAPOYAS,2022,OTRAS MULTAS,MULTAS Y SANCIONES NO TRIBUTARIAS,01,GOBIERNOS REGIONALES,3,R,AMAZONAS,721,RECURSOS DIRECTAMENTE RECAUDADOS,1,09,5,NORMAL,REGION AMAZONAS-SEDE CENTRAL,2,0,RECURSOS DIRECTAMENTE RECAUDADOS,OTRAS MULTAS,0,GOBIERNOS REGIONALES,MULTAS Y SANCIONES NO TRIBUTARIAS,001,440,2,CHACHAPOYAS,0,6,OTROS INGRESOS,99
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,697.38,CHACHAPOYAS,2022,DERECHOS ADMINISTRATIVOS DE INDUSTRIA Y COMERCIO,DERECHOS ADMINISTRATIVOS DE INDUSTRIA Y COMERCIO,01,GOBIERNOS REGIONALES,7,R,AMAZONAS,721,RECURSOS DIRECTAMENTE RECAUDADOS,9,09,3,NORMAL,REGION AMAZONAS-SEDE CENTRAL,2,0,RECURSOS DIRECTAMENTE RECAUDADOS,OTROS DERECHOS ADMINISTRATIVOS DE INDUSTRIA Y COMERCIO,0,GOBIERNOS REGIONALES,DERECHOS Y TASAS ADMINISTRATIVOS,001,440,2,CHACHAPOYAS,0,1,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,99
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,5000.39,CHACHAPOYAS,2022,INTERESES,RENTAS DE LA PROPIEDAD FINANCIERA,01,GOBIERNOS REGIONALES,5,R,AMAZONAS,721,RECURSOS DIRECTAMENTE RECAUDADOS,1,09,5,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION AMAZONAS-SEDE CENTRAL,1,0,RECURSOS DIRECTAMENTE RECAUDADOS,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,7,GOBIERNOS REGIONALES,RENTAS DE LA PROPIEDAD,001,440,2,CHACHAPOYAS,0,1,OTROS INGRESOS,1
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,572.27,CHACHAPOYAS,2022,INTERESES,RENTAS DE LA PROPIEDAD FINANCIERA,01,GOBIERNOS REGIONALES,7,R,AMAZONAS,721,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",1,18,5,SUB CUENTA - PARTICIPACIONES - DNTP,REGION AMAZONAS-SEDE CENTRAL,1,0,RECURSOS DETERMINADOS,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,D,GOBIERNOS REGIONALES,RENTAS DE LA PROPIEDAD,001,440,5,CHACHAPOYAS,0,1,OTROS INGRESOS,1
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,751.30,CHACHAPOYAS,2022,INTERESES,RENTAS DE LA PROPIEDAD FINANCIERA,01,GOBIERNOS REGIONALES,9,R,AMAZONAS,721,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",1,18,5,SUB CUENTA - PARTICIPACIONES - DNTP,REGION AMAZONAS-SEDE CENTRAL,1,0,RECURSOS DETERMINADOS,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,D,GOBIERNOS REGIONALES,RENTAS DE LA PROPIEDAD,001,440,5,CHACHAPOYAS,0,1,OTROS INGRESOS,1
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,201.57,CHACHAPOYAS,2022,INTERESES,RENTAS DE LA PROPIEDAD FINANCIERA,01,GOBIERNOS REGIONALES,2,R,AMAZONAS,721,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",1,18,5,SUB CUENTA - CANON MINERO,REGION AMAZONAS-SEDE CENTRAL,1,0,RECURSOS DETERMINADOS,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,H,GOBIERNOS REGIONALES,RENTAS DE LA PROPIEDAD,001,440,5,CHACHAPOYAS,0,1,OTROS INGRESOS,1
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,9782.82,CHACHAPOYAS,2022,INTERESES,RENTAS DE LA PROPIEDAD FINANCIERA,01,GOBIERNOS REGIONALES,12,R,AMAZONAS,721,RECURSOS DIRECTAMENTE RECAUDADOS,1,09,5,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION AMAZONAS-SEDE CENTRAL,1,0,RECURSOS DIRECTAMENTE RECAUDADOS,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,7,GOBIERNOS REGIONALES,RENTAS DE LA PROPIEDAD,001,440,2,CHACHAPOYAS,0,1,OTROS INGRESOS,1
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,7745.98,CHACHAPOYAS,2022,INTERESES,RENTAS DE LA PROPIEDAD FINANCIERA,01,GOBIERNOS REGIONALES,10,R,AMAZONAS,721,RECURSOS DIRECTAMENTE RECAUDADOS,1,09,5,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION AMAZONAS-SEDE CENTRAL,1,0,RECURSOS DIRECTAMENTE RECAUDADOS,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,7,GOBIERNOS REGIONALES,RENTAS DE LA PROPIEDAD,001,440,2,CHACHAPOYAS,0,1,OTROS INGRESOS,1
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,1012,CHACHAPOYAS,2022,OTROS DERECHOS ADMINISTRATIVOS,OTROS DERECHOS ADMINISTRATIVOS,01,GOBIERNOS REGIONALES,2,R,AMAZONAS,721,RECURSOS DIRECTAMENTE RECAUDADOS,10,09,3,NORMAL,REGION AMAZONAS-SEDE CENTRAL,2,0,RECURSOS DIRECTAMENTE RECAUDADOS,CERTIFICACIONES DIVERSAS,0,GOBIERNOS REGIONALES,DERECHOS Y TASAS ADMINISTRATIVOS,001,440,2,CHACHAPOYAS,0,1,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,5
