EJECUTORA_NOMBRE,ANO_DOC,NIVEL_GOBIERNO_NOMBRE,EJECUTORA,PLIEGO,SUBGENERICA_NOMBRE,MES_DOC,PROVINCIA_EJECUTORA_NOMBRE,RUBRO_NOMBRE,DISTRITO_EJECUTORA,SECTOR_NOMBRE,FUENTE_FINANCIAMIENTO,SUBGENERICA_DET_NOMBRE,SUBGENERICA,DISTRITO_EJECUTORA_NOMBRE,DEPARTAMENTO_EJECUTORA,NIVEL_GOBIERNO,MONTO_PIM,DEPARTAMENTO_EJECUTORA_NOMBRE,SUBGENERICA_DET,ESPECIFICA_NOMBRE,ESPECIFICA,FUENTE_FINANCIAMIENTO_NOMBRE,PLIEGO_NOMBRE,PROVINCIA_EJECUTORA,ESPECIFICA_DET_NOMBRE,SECTOR,TIPO_RECURSO,GENERICA,RUBRO,TIPO_RECURSO_NOMBRE,MONTO_RECAUDADO,ESPECIFICA_DET,SEC_EJEC,GENERICA_NOMBRE,MONTO_PIA
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,DERECHOS Y TASAS ADMINISTRATIVOS,1,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,DERECHOS ADMINISTRATIVOS DE SALUD,2,CAMANA,04,R,3087,AREQUIPA,4,DERECHOS ADMINISTRATIVOS DE SALUD,1,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,"AUTORIZACION, INSPECCION Y CONTROL SANITARIO",99,0,3,09,NORMAL,0,2,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,3087
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,VENTA DE SERVICIOS,1,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,SERVICIOS DE SALUD,3,CAMANA,04,R,10710,AREQUIPA,4,EXAMENES DE LABORATORIO Y DE AYUDA AL DIAGNOSTICO,2,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,ELECTROCARDIOGRAMA,99,0,3,09,NORMAL,0,3,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,10710
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,VENTA DE SERVICIOS,3,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,SERVICIOS DE SALUD,3,CAMANA,04,R,0,AREQUIPA,4,SERVICIOS MEDICOS - ASISTENCIALES,1,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,CIRUGIA,99,7,3,09,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,3345,5,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,DERECHOS Y TASAS ADMINISTRATIVOS,2,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,DERECHOS ADMINISTRATIVOS DE SALUD,2,CAMANA,04,R,0,AREQUIPA,4,DERECHOS ADMINISTRATIVOS DE SALUD,1,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,OTROS DERECHOS ADMINISTRATIVOS DE SALUD,99,7,3,09,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,252,99,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,VENTA DE SERVICIOS,4,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,SERVICIOS DE SALUD,3,CAMANA,04,R,0,AREQUIPA,4,SERVICIOS MEDICOS - ASISTENCIALES,1,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,ATENCION MEDICA,99,7,3,09,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,3842,1,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,SALDOS DE BALANCE,1,CAMANA,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",01,GOBIERNOS REGIONALES,5,SALDOS DE BALANCE,1,CAMANA,04,R,0,AREQUIPA,1,SALDOS DE BALANCE,1,RECURSOS DETERMINADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,SALDOS DE BALANCE,99,P,9,18,SUB CUENTA - REGALIAS MINERAS,9.48,1,768,SALDOS DE BALANCE,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,SALDOS DE BALANCE,1,CAMANA,DONACIONES Y TRANSFERENCIAS,01,GOBIERNOS REGIONALES,4,SALDOS DE BALANCE,1,CAMANA,04,R,0,AREQUIPA,1,SALDOS DE BALANCE,1,DONACIONES Y TRANSFERENCIAS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,SALDOS DE BALANCE,99,18,9,13,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,2047973.49,1,768,SALDOS DE BALANCE,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,DERECHOS Y TASAS ADMINISTRATIVOS,1,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,DERECHOS ADMINISTRATIVOS DE SALUD,2,CAMANA,04,R,0,AREQUIPA,4,DERECHOS ADMINISTRATIVOS DE SALUD,1,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,OTROS DERECHOS ADMINISTRATIVOS DE SALUD,99,7,3,09,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,720,99,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,VENTA DE SERVICIOS,2,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,SERVICIOS DE SALUD,3,CAMANA,04,R,0,AREQUIPA,4,EXAMENES DE LABORATORIO Y DE AYUDA AL DIAGNOSTICO,2,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,EXAMENES DE LABORATORIO,99,7,3,09,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,8371,1,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,VENTA DE SERVICIOS,4,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,SERVICIOS DE SALUD,3,CAMANA,04,R,0,AREQUIPA,4,EXAMENES DE LABORATORIO Y DE AYUDA AL DIAGNOSTICO,2,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,"DIAGNOSTICOS POR IMAGENES (RAYOS X, ECOGRAFIAS, TOMOGRAFIAS, OTROS)",99,7,3,09,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,3101,4,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,0
